Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.983147700,0,0,1,0
0.984150500,0,0,1,1
0.986152700,0,1,1,1
0.987153900,0,1,1,0
0.988155100,1,1,1,0
0.989156600,1,1,0,0
0.990157900,1,1,0,1
0.993163000,1,0,0,1
0.993171900,0,0,0,1
0.993180800,0,0,0,0
0.996165900,0,0,0,1
0.998169600,1,0,0,1
0.999171000,1,0,0,0
1.000172800,1,0,1,0
1.000182000,1,1,1,0
1.002174300,1,1,1,1
1.003175200,0,1,1,1
1.005179200,0,1,1,0
1.007181600,0,0,1,0
1.008183600,1,0,1,0
1.008192600,1,0,1,1
1.011186900,1,0,0,1
1.011196100,1,0,0,0
1.013190400,0,0,0,0
1.014192200,0,1,0,0
1.014201200,0,1,0,1
1.017194700,0,1,0,0
1.018197400,1,1,0,0
1.020200300,1,1,0,1
1.021201800,1,0,0,1
1.022203400,1,0,1,1
1.023205600,0,0,1,1
1.023214600,0,0,1,0
1.026210200,0,0,1,1
1.028213600,0,1,1,1
1.028222700,1,1,1,1
1.029214300,1,1,1,0
1.032218300,1,1,1,1
1.033220600,1,1,0,1
1.033229700,0,1,0,1
1.035224800,0,0,0,1
1.035233800,0,0,0,0
1.038228200,1,0,0,0
1.038237200,1,0,0,1
1.041232300,1,0,0,0
1.042233700,1,1,0,0
1.043235100,0,1,0,0
1.044237100,0,1,1,0
1.044246300,0,1,1,1
1.047240800,0,1,1,0
1.048241800,1,1,1,0
1.049242800,1,0,1,0
1.050243800,1,0,1,1
1.053249000,0,0,1,1
1.053258100,0,0,1,0
1.055250200,0,0,0,0
1.056252100,0,1,0,0
1.056261200,0,1,0,1
1.058253400,1,1,0,1
1.059254700,1,1,0,0
1.062259600,1,1,0,1
1.063261500,1,0,0,1
1.063270600,0,0,0,1
1.065263500,0,0,0,0
1.066264900,0,0,1,0
1.068268500,1,0,1,0
1.068277500,1,0,1,1
1.070271700,1,1,1,1
1.071273100,1,1,1,0
1.073275800,0,1,1,0
1.074277400,0,1,1,1
1.077284200,0,1,0,1
1.077293100,0,0,0,1
1.077302100,0,0,0,0
1.078283600,1,0,0,0
1.080286000,1,0,0,1
1.083292000,0,0,0,1
1.083301200,0,0,0,0
1.084292400,0,1,0,0
1.086295100,0,1,0,1
1.088298500,0,1,1,1
1.088307600,1,1,1,1
1.089300600,1,1,1,0
1.091302700,1,0,1,0
1.092303900,1,0,1,1
1.093304900,0,0,1,1
1.095309100,0,0,1,0
1.098314000,0,1,1,0
1.098322900,1,1,1,0
1.098331900,1,1,1,1
1.099313200,1,1,0,1
1.101317500,1,1,0,0
1.103319800,0,1,0,0
1.104321100,0,1,0,1
1.105322100,0,0,0,1
1.107325200,0,0,0,0
1.108328100,1,0,0,0
1.110331600,1,0,1,0
1.110340800,1,0,1,1
1.112333500,1,1,1,1
1.113335500,0,1,1,1
1.113344300,0,1,1,0
1.116339800,0,1,1,1
1.118342800,1,1,1,1
1.119345000,1,0,1,1
1.119354200,1,0,1,0
1.121347200,1,0,0,0
1.122349000,1,0,0,1
1.123351800,0,0,0,1
1.125354700,0,0,0,0
1.126356200,0,1,0,0
1.128359900,1,1,0,0
1.128369000,1,1,0,1
1.131364700,1,1,0,0
1.132366400,1,1,1,0
1.133368700,1,0,1,0
1.133377700,0,0,1,0
1.134369100,0,0,1,1
1.137374500,0,0,1,0
1.138375900,1,0,1,0
1.140379300,1,1,1,0
1.140388400,1,1,1,1
1.143384300,1,1,0,1
1.143393200,0,1,0,1
1.143402200,0,1,0,0
1.146388000,0,1,0,1
1.147389500,0,0,0,1
1.148391100,1,0,0,1
1.149393900,1,0,0,0
1.152397800,1,0,0,1
1.153399500,0,0,0,1
1.154401800,0,0,1,1
1.154411000,0,1,1,1
1.155402600,0,1,1,0
1.158408900,1,1,1,0
1.158417900,1,1,1,1
1.161412900,1,0,1,1
1.161422100,1,0,1,0
1.163416200,0,0,1,0
1.164417800,0,0,1,1
1.165418900,0,0,0,1
1.167421600,0,0,0,0
1.168423600,0,1,0,0
1.168432600,1,1,0,0
1.170426700,1,1,0,1
1.173431200,0,1,0,1
1.173440300,0,1,0,0
1.175433100,0,0,0,0
1.176435400,0,0,1,0
1.176444600,0,0,1,1
1.178438800,1,0,1,1
1.179440200,1,0,1,0
1.182444600,1,1,1,0
1.182453800,1,1,1,1
1.183446500,0,1,1,1
1.185448900,0,1,1,0
1.187451300,0,1,0,0
1.188453400,1,1,0,0
1.188462400,1,1,0,1
1.189455200,1,0,0,1
1.191457600,1,0,0,0
1.193460100,0,0,0,0
1.194461700,0,0,0,1
1.196464300,0,1,0,1
1.197465800,0,1,0,0
1.198467700,0,1,1,0
1.198476800,1,1,1,0
1.200470900,1,1,1,1
1.203475700,1,0,1,1
1.203484700,0,0,1,1
1.203493500,0,0,1,0
1.206478500,0,0,1,1
1.208480900,1,0,1,1
1.209482900,1,0,0,1
1.209492000,1,0,0,0
1.210484700,1,1,0,0
1.212487000,1,1,0,1
1.213488000,0,1,0,1
1.215490300,0,1,0,0
1.217494600,0,0,0,0
1.218496700,1,0,0,0
1.218505700,1,0,0,1
1.220497900,1,0,1,1
1.221499300,1,0,1,0
1.223501700,0,0,1,0
1.224503700,0,1,1,0
1.224512900,0,1,1,1
1.227507800,0,1,1,0
1.228508800,1,1,1,0
1.230511600,1,1,1,1
1.231513700,1,1,0,1
1.231522800,1,0,0,1
1.233518000,0,0,0,1
1.233527100,0,0,0,0
1.236520900,0,0,0,1
1.238524300,0,1,0,1
1.238533500,1,1,0,1
1.239526700,1,1,0,0
1.242530700,1,1,1,0
1.242539800,1,1,1,1
1.243531400,0,1,1,1
1.245534400,0,0,1,1
1.245543400,0,0,1,0
1.248539100,1,0,1,0
1.248548300,1,0,1,1
1.251543500,1,0,1,0
1.252544800,1,1,1,0
1.253546900,1,1,0,0
1.253556000,0,1,0,0
1.254547200,0,1,0,1
1.257550400,0,1,0,0
1.258553200,1,1,0,0
1.259554400,1,0,0,0
1.260555700,1,0,0,1
1.263559800,0,0,0,1
1.263568900,0,0,0,0
1.264560400,0,0,1,0
1.266563800,0,1,1,0
1.266572800,0,1,1,1
1.268566700,1,1,1,1
1.269567900,1,1,1,0
1.272573100,1,1,1,1
1.273575200,1,0,1,1
1.273584400,0,0,1,1
1.275577700,0,0,0,1
1.275586800,0,0,0,0
1.278581400,1,0,0,0
1.278590400,1,0,0,1
1.280584400,1,1,0,1
1.281585800,1,1,0,0
1.283588500,0,1,0,0
